_id,text,metadata_state,metadata_page_no,metadata_headings,metadata_source,metadata__node_type,metadata_document_id,metadata_doc_id,metadata_ref_doc_id,metadata__node_content,metadata_pop_name,created_at,metadata_anchor_id,metadata_subchunk_index,metadata_subchunk_total
c583c9f3-00c4-463b-b661-ef375dfd5540,"Under nutrition research activities the department has worked out suitable agro-wastes and their quantities for use as the supplementary diet of fish.
- ix. Designed a simple device for measuring live weight of aquatic invertebrates under field conditions.
- x. The college has so far screened herbs safed and kali musli, mulethi, Chandrasoor, Shatavari, Ashwagandha, Bala, Lotus  root,  Gokhru  and  Makhana  for  ascertaining  their  utility  as  growth enhancer and stimulant for gonadal development for the fish encouraging results.
- xi. Department  of  Aquaculture  has  Successfully  organized  a  user's  Workshop  DST  project  on Limnology of Berach River system sponsored by the DST, Govt. of Rajasthan, Jaipur.

- xii. A training programme for the PHED engineers on water quality assessment was organized.
- xiii. Eleventh  National  Symposium on Environment was organized at Udaipur (5-7 June, 2002) in collaboration with BARC &amp; RAPS which was sponsored by Department of Atomic Energy, Govt. of India.
- xiv. A  short  course  sponsored  by  ICAR,  New  Delhi  on  Advances  in  Applied  Limnology  for  the Management of Inland waters was organized during February 5-14. 2003.
- xv. A 21 days winter school on Advances in Culture and Breeding of Freshwater Ornamental Fish and Aquarium Management was organized during February 8-28, 2005 sponsored by ICAR, New Delhi.
- xvi. For  the  eradication  of  water  hyacinth  from  Udaipur  lakes,  College  of  Fisheries  designed  a conveyor belt which successfully harvested ten thousand MT of the weed in record period of 15 days to clear 33 hectare infestation.
- xvii. Cage  culture  of  Indian  Major  Carps  in  Lake  Jaisamand  in  association  with  state  Fisheries Department and Rajasthan Tribal Area Development Cooperative Federation Ltd. Udaipur was successfully attempted with encouraging results.",Rajasthan,,[],https://workdrive.zohoexternal.in/file/2bmyq909a0e6785724641a926d9e2bd8f453e,TextNode,65273fb0-085a-4e9a-a573-14c666d70831,65273fb0-085a-4e9a-a573-14c666d70831,65273fb0-085a-4e9a-a573-14c666d70831,"{""id_"": ""c583c9f3-00c4-463b-b661-ef375dfd5540"", ""embedding"": null, ""metadata"": {""page_no"": null, ""headings"": [], ""source"": ""https://workdrive.zohoexternal.in/file/2bmyq909a0e6785724641a926d9e2bd8f453e""}, ""excluded_embed_metadata_keys"": [], ""excluded_llm_metadata_keys"": [], ""relationships"": {}, ""metadata_template"": ""{key}: {value}"", ""metadata_separator"": ""\n"", ""text"": """", ""mimetype"": ""text/plain"", ""start_char_idx"": 0, ""end_char_idx"": 0, ""metadata_seperator"": ""\n"", ""text_template"": ""{metadata_str}\n\n{content}"", ""class_name"": ""TextNode""}",Revised Foundation Day Booklet (Coloured) pg 1- 84-min,2025-10-31T08:26:02.313000,,,
52281acb-2086-4bcf-a5fa-346d2edfe1d7,"B. Diseases
Brown stripe downy mildew ( Sclerophthora rayssiae var zeae ): It is characterized by the presence of long, narrow, brownish, interveinal stripes on leaves. Whitish downy fungal growth may be observed on close examination on underside of the stripes. Destroy the collateral host Takri grass (Digitaria sanguinalis) from the maize field. Keep the fields well drained. Spray 200 g Indofil M-45 (mancozeb*) in100 litres of water after about a fortnight of sowing. Give two more sprays at 10-day intervals. Grow recommended varieties.
Post  flowering  stalk  rots  ( Fusarium spp., Macrophomina spp., Cephalosporium spp.): Plants wilt after flowering. The  rind  and basal internodes become discoloured. On splitting, the discolouration of the pith progressing upward is also seen. Grow improved varieties such as PMH 13, PMH 11 and PMH 1).",Punjab,48,"[""B. Diseases""]",https://storage.googleapis.com/annam-dataset/pops/Punjab_Kharif_2025.pdf,TextNode,d03f843d-3619-4c08-990e-cd72496435d5,d03f843d-3619-4c08-990e-cd72496435d5,d03f843d-3619-4c08-990e-cd72496435d5,"{""id_"": ""52281acb-2086-4bcf-a5fa-346d2edfe1d7"", ""embedding"": null, ""metadata"": {""page_no"": 48, ""headings"": [""B. Diseases""], ""source"": ""https://storage.googleapis.com/annam-dataset/pops/Punjab_Kharif_2025.pdf""}, ""excluded_embed_metadata_keys"": [], ""excluded_llm_metadata_keys"": [], ""relationships"": {""1"": {""node_id"": ""d03f843d-3619-4c08-990e-cd72496435d5"", ""node_type"": ""4"", ""metadata"": {""page_no"": 48, ""headings"": [""B. Diseases""], ""source"": ""https://storage.googleapis.com/annam-dataset/pops/Punjab_Kharif_2025.pdf""}, ""hash"": ""1634e000f439cd2b446844e5e780bbcc6924e6ca06df7b1ed1409bed5e3dd5f8"", ""class_name"": ""RelatedNodeInfo""}}, ""metadata_template"": ""{key}: {value}"", ""metadata_separator"": ""\n"", ""text"": """", ""mimetype"": ""text/plain"", ""start_char_idx"": 0, ""end_char_idx"": 848, ""metadata_seperator"": ""\n"", ""text_template"": ""{metadata_str}\n\n{content}"", ""class_name"": ""TextNode""}",POP-Package of Practices Kharif 2025_PAU Punjab Agriculture University_Ludhiana,,,,
eebfa2f2-c951-428c-948f-0850e2aab936,"256

<!-- PAGE BREAK -->",Karnataka,299,"[""256""]",https://workdrive.zoho.in/file/0u4ck92141867d7d24f57a6a0f6cc52cda094,TextNode,f98fd64d-f575-48d2-ba9f-965266a61a81,f98fd64d-f575-48d2-ba9f-965266a61a81,f98fd64d-f575-48d2-ba9f-965266a61a81,(populate LlamaIndex JSON string in production),"Compressive Horticultural -POP-Package of Practice _ University of Horticultural Science,Bagalkot(UHSB)_Udyanagiri, Navanagar, Bagalkot - 587104, Karnataka",2026-04-07T08:49:01.885000,,,
2b7e8184-c0bb-401b-b7c8-6de184c6f28d,"In light soils that do not have high water retention, i.e. red loam and sandy soil
Only during the rainy season does the soil retain moisture.So
Fast growing legumes like groundnuts, maize etc
Crops can be cultivated.Green grass in rainfed gardens viz
Land by cultivating Janumu, Pillipesara, Jeeluga etc
Fertilize and water can do anything else.Using fertilizers for coconut,
For inter-crops also, additional crop-wise fertilizers should be provided.
Farmers should follow this precaution.Or the possibility of reduced yield in coconut
will be



Ownership of coconut aphids



Cocoanut blackworm:



Blackberry borer attacks coconut trees of all ages, orchards (Narumadi,
mature plantations, rice paddies, fishpond ridges).step row
Goki feeds on coconut leaves and leafy greens.Like saw blades
They build nests with drops and mouth threads and stick leaves in those nests
will be



9



Symptoms of Blackberry:

* Dry spots are formed on the leaves where this pest is expected.
* When the intensity of the insect increases, all the spots merge and the entire leaf dries up.In this way all the leaves on the tree become dry and withered.
* The entire garden looks burnt.Nuts can also be damaged when overheated.



Loss:
* When small plants are expected, the plants are stunted and mature late.
* If large plants are desired, eating the leafy green particles that can make food in the leaves will reduce the supply of nutrients to the plant and not only will reduce the size of the pods but also reduce the pod size.
* As the leaves dry up, the pods fall off.Without alliances, yields will decrease.It takes 2-3 years for the tree to recover.



Biography:

The gray-winged mother moth lays eggs near old nests in the lower row of leaves.The eggs hatch in 5 days and the young larvae grow to feed on the leaf.The caterpillars feed in the leaf folds and grow for about a month.After nesting in the leaves, the dormant stage is completed in 10-12 days and emerges as a winged insect.Thus the life cycle is completed in six weeks.",Andhra Pradesh,,[],https://workdrive.zoho.in/file/zu51z1eeda9ef86634334b465922f4857c007,TextNode,d112b270-d105-4f38-b31b-5864b23f2a31,d112b270-d105-4f38-b31b-5864b23f2a31,d112b270-d105-4f38-b31b-5864b23f2a31,"{""id_"": ""2b7e8184-c0bb-401b-b7c8-6de184c6f28d"", ""embedding"": null, ""metadata"": {""page_no"": null, ""headings"": [], ""source"": ""https://workdrive.zoho.in/file/zu51z1eeda9ef86634334b465922f4857c007""}, ""excluded_embed_metadata_keys"": [], ""excluded_llm_metadata_keys"": [], ""relationships"": {}, ""metadata_template"": ""{key}: {value}"", ""metadata_separator"": ""\n"", ""text"": """", ""mimetype"": ""text/plain"", ""start_char_idx"": 0, ""end_char_idx"": 0, ""metadata_seperator"": ""\n"", ""text_template"": ""{metadata_str}\n\n{content}"", ""class_name"": ""TextNode""}",POP- Coconut,2025-10-31T08:26:02.346000,,,
4e9ab7e0-76d3-411f-9396-d02849c07154,"<::logo: Unknown
264
A blue rectangular shape with slanted sides, featuring the number ""264"" in white, with several thin blue lines extending horizontally from both sides of the rectangle.::>

<!-- PAGE BREAK -->",Karnataka,272,"[""264""]",https://workdrive.zoho.in/file/0u4ck598c81fd38fa46d2b168b78abddaed42,TextNode,69e68b29-6a66-4ada-a276-aa5dd50f2a72,69e68b29-6a66-4ada-a276-aa5dd50f2a72,69e68b29-6a66-4ada-a276-aa5dd50f2a72,(populate LlamaIndex JSON string in production),"ICAR Kharif Agro-Advisories for Farmers 2025_Indian Council of Agricultural Research, Krishi Bhawan, New Delhi",2026-04-07T08:48:27.059000,,,
f197ad6c-8ef7-4b33-8acf-a30cd219303f,"## c.Method of fertilizer application

-  Make circular basin at a radius of 1.8 - 2.0 m from the base of the palm and 25 cm deep
-  Apply 1 Kg lime/dolomite prior to fertilizer application to neutralize soil pH.
-  Apply organic manure - 10 kg/pit in the fi  rst three years &amp; 15-25 kg after 3 years of planting
-  Rainfed  conditions  -  apply  fertilizers  in  two  split  doses,  1/3rd  at  the time  of  early  southwest  monsoon  showers  in  April-June  and  2/3rd  in September-October
-  Irrigated conditions - apply fertilizers in three or four equal doses in AprilMay, august-September, December and February-March.

## Irrigation

-  Irrigate palms during summer months
-  600  -  1600  litres  of  water/irrigation/palm  in  a
- basin of 1.8 m radius based on soil texture
-  Drip  irrigation  in  case  of  scarcity  of water
-  3-4 drippers are given per palm in drip irrigation
-  It  saves  water,  energy,  labour  and increase plant growth and yield

<!-- image -->

**Image Description:** a picture of a pipe and a pipe




## Drought management

Coconut Development Board

<!-- image -->

**Image Description:** a tree with lots of leaves in it




<!-- image -->

**Image Description:** the logo for the coutt technology center",Kerala,,[],https://workdrive.zohoexternal.in/file/2bmyq083e3fc6b8e44fa58dbb0242e3516d93,TextNode,40ae66a3-fc9b-410d-9641-661ae469f7c6,40ae66a3-fc9b-410d-9641-661ae469f7c6,40ae66a3-fc9b-410d-9641-661ae469f7c6,"{""id_"": ""f197ad6c-8ef7-4b33-8acf-a30cd219303f"", ""embedding"": null, ""metadata"": {""page_no"": null, ""headings"": [], ""source"": ""https://workdrive.zohoexternal.in/file/2bmyq083e3fc6b8e44fa58dbb0242e3516d93""}, ""excluded_embed_metadata_keys"": [], ""excluded_llm_metadata_keys"": [], ""relationships"": {}, ""metadata_template"": ""{key}: {value}"", ""metadata_separator"": ""\n"", ""text"": """", ""mimetype"": ""text/plain"", ""start_char_idx"": 0, ""end_char_idx"": 0, ""metadata_seperator"": ""\n"", ""text_template"": ""{metadata_str}\n\n{content}"", ""class_name"": ""TextNode""}",Packageofpractice,2025-10-31T08:26:02.331000,,,
81a20d66-9248-4ca3-8d85-3d6a80fbd775,"Citrus blackfly; (a) Eggs (in spiral form) and black pupae, (b) Adults

<!-- image -->

**Image Description:** four photos of black mold mold mold mold mold mold mold mold mold mold mold mold mold mold mold mold",Punjab,,[],https://workdrive.zoho.in/file/c1j4y8bdb025545034515bb42b0feacf4a8df,TextNode,9ca08a70-809b-4026-ae8b-6aac6dea35bb,9ca08a70-809b-4026-ae8b-6aac6dea35bb,9ca08a70-809b-4026-ae8b-6aac6dea35bb,"{""id_"": ""81a20d66-9248-4ca3-8d85-3d6a80fbd775"", ""embedding"": null, ""metadata"": {""page_no"": null, ""headings"": [], ""source"": ""https://workdrive.zoho.in/file/c1j4y8bdb025545034515bb42b0feacf4a8df""}, ""excluded_embed_metadata_keys"": [], ""excluded_llm_metadata_keys"": [], ""relationships"": {}, ""metadata_template"": ""{key}: {value}"", ""metadata_separator"": ""\n"", ""text"": """", ""mimetype"": ""text/plain"", ""start_char_idx"": 0, ""end_char_idx"": 0, ""metadata_seperator"": ""\n"", ""text_template"": ""{metadata_str}\n\n{content}"", ""class_name"": ""TextNode""}",Citrus_Cultivation,2025-10-31T08:26:02.343000,,,
492fb9e7-aaca-4db5-8780-f04189ba670b,"<::A field of tall, golden-brown cereal crops, possibly millet or sorghum, under a bright sky. The text ""Haryana & Delhi"" is overlaid in blue font across the upper part of the image.
: photo::>
CEREAL CROPS",Karnataka,71,"["": photo::>""]",https://workdrive.zoho.in/file/0u4ck598c81fd38fa46d2b168b78abddaed42,TextNode,69e68b29-6a66-4ada-a276-aa5dd50f2a72,69e68b29-6a66-4ada-a276-aa5dd50f2a72,69e68b29-6a66-4ada-a276-aa5dd50f2a72,(populate LlamaIndex JSON string in production),"ICAR Kharif Agro-Advisories for Farmers 2025_Indian Council of Agricultural Research, Krishi Bhawan, New Delhi",2026-04-07T08:48:24.068000,,,
2e89bcb1-eafc-4904-a664-00fef824d494,"No. | Title                                                        | Associated Teacher                    | Status     |
|-----------|--------------------------------------------------------------|---------------------------------------|------------|
|         1 | Development of pineapple varietal                            | blockN. Bhowmick                      | Continuing |
|         2 | Collection and maintenance of different strawberry cultivars | N. Bhowmick Dr. A. Chakraborty        | Continuing |
|         3 | Establishment of litchi orchard var                          | Bedana N. Bhowmick Dr. M. Preema Devi | Continuing |
|         4 | Maintenance of mother block of                               | litchi N. Bhowmick Dr. A. Chakraborty | Continuing |
|         5 | Maintenance of citrus rootstock, water orchard               | apple Dr. M. Preema Devi              | Continuing |

## FORESTRY

|    | Title of the research Project                                                        | Associated Teacher                                                                               | Status   |
|----|--------------------------------------------------------------------------------------|--------------------------------------------------------------------------------------------------|----------|
|  1 | Rejuvenation, gap filling and intercropping Albizia lebbeck agroforestry stand       | in PI-Dr Gopal Shukla Dr. SubhamoySikder                                                         | Running  |
|  2 | Rejuvenation, gap filling and intercropping Terminalia arjuna agroforestry stand     | in Dr. Nazir A. Pala Dr. SubhamoySikder                                                          | Running  |
|  3 | Rejuvenation, gap filling and intercropping agroforestry stand                       | in Jarul Miss. Vineeta Mr.Shibnath Basfore                                                       | Running  |
|  4 | Moringa based agroforestry system for terai of West Bengal                           | zone PI-Dr Gopal Shukla Dr. Nazir A. Pala Miss. Vineeta Mr. Shibnath Basfore Dr. Subhamoy Sikder | Running  |
|  5 | Standardisation of nursery technology on Mimusops elengi and Elaeocarpus floribundus | Dr. A. N. Dey                                                                                    | Running  |
|  6 | Standardisation of macropropagation of Elaeocarpus floribundus and E.gannitrus       | Dr.",West Bengal,,[],https://workdrive.zoho.in/file/zu51zaac7743be0b84f5292ab04cf7fedf69a,TextNode,c631651e-ad1a-4a39-9b6b-a9bd89e52090,c631651e-ad1a-4a39-9b6b-a9bd89e52090,c631651e-ad1a-4a39-9b6b-a9bd89e52090,"{""id_"": ""2e89bcb1-eafc-4904-a664-00fef824d494"", ""embedding"": null, ""metadata"": {""page_no"": null, ""headings"": [], ""source"": ""https://workdrive.zoho.in/file/zu51zaac7743be0b84f5292ab04cf7fedf69a""}, ""excluded_embed_metadata_keys"": [], ""excluded_llm_metadata_keys"": [], ""relationships"": {}, ""metadata_template"": ""{key}: {value}"", ""metadata_separator"": ""\n"", ""text"": """", ""mimetype"": ""text/plain"", ""start_char_idx"": 0, ""end_char_idx"": 0, ""metadata_seperator"": ""\n"", ""text_template"": ""{metadata_str}\n\n{content}"", ""class_name"": ""TextNode""}",Annual-Report-Faculty-of-Horticulture-UBKV-2016-17,2025-10-31T08:26:02.331000,,,
bf8a2b6b-4171-4952-9fa2-2c3281ee5afa,"## 12. Carnation

This flower is second only to rose and sevantige in the world market.A flower that is getting a lot of demand in our country.Carnation flowers are used for arranging in vases and making bouquets.This crop should be grown in a green house to get good quality flowers.

**Greenhouse Environment** : This crop thrives in cool climates with a day temperature of 20-25°C in the greenhouse.And 15-18° C at night.And if there is enough light, good humidity percent.Should be 50-60.",Karnataka,247,"[""## 12. Carnation""]",https://workdrive.zoho.in/file/0u4ck92141867d7d24f57a6a0f6cc52cda094,TextNode,f98fd64d-f575-48d2-ba9f-965266a61a81,f98fd64d-f575-48d2-ba9f-965266a61a81,f98fd64d-f575-48d2-ba9f-965266a61a81,(populate LlamaIndex JSON string in production),"Compressive Horticultural -POP-Package of Practice _ University of Horticultural Science,Bagalkot(UHSB)_Udyanagiri, Navanagar, Bagalkot - 587104, Karnataka",2026-04-07T08:48:59.809000,,,
