source,answer_id,question_id,question,answer
https://workdrive.zoho.in/file/ea2zne2cd1b9f0b8745778d8cc181a1d8fe60,694536beba7dbbec181ce2c2,6944cc66ba7dbbec181cdee0,Can I mix Boron and Zinc spray in Mustard field? ,"Boron and zinc sprays can be mixed safely for mustard crops to address common micronutrient deficiencies that limit pod formation and seed filling.
Zinc deficiency causes stunted growth and chlorosis, while boron deficiency leads to hollow stems and poor pollination; together they boost yield by 15-25% in deficient soils. IFFCO recommends mixing 1-2 grams of Boron 20% per liter with 2-3 grams of Zinc sulphate (21%) per liter of water for foliar spray, applied at rosette (25-30 DAS) and early flowering stages (45-50 DAS) ensuring compatibility without precipitation when pH is neutral. 
NIPHM guidelines under integrated nutrient management endorse such tank mixes for oilseeds like mustard, confirming no antagonism at these low concentrations. Spray during morning or evening to enhance uptake, adding a sticker (0.5 ml/liter) for better adhesion on mustard leaves."
https://workdrive.zoho.in/file/ofd56a04a5fde9efd43c894ed1dd29bde511e,694634b8d683a39e87807eba,6944cc66ba7dbbec181cdf08,How to control stem and root rot in Mustard?,"Sclerotinia stem rot and root rot are among the most damaging diseases of mustard. Root rot is generally considered a minor disease of mustard and is mainly caused by Fusarium species; however, under favourable conditions it can still cause considerable damage to the crop. Sclerotinia stem rot, caused by Sclerotinia sclerotiorum, is more destructive and widespread.

In Sclerotinia stem rot, elongated water-soaked lesions appear on the stem near the crown region, which later become covered with white, cottony mycelial growth. From a distance, affected plants appear whitish at the internodes or base. The disease leads to premature ripening, shredding of the stem, wilting, and drying of plants. At later stages, brown to black sclerotial bodies may be observed on infected plant parts. Root rot, mainly caused by Fusarium spp., results in root decay, poor plant vigour, wilting, and uneven crop stand.

For the management of Sclerotinia stem rot and root rot in mustard (West Bengal conditions), an integrated approach is recommended. As a primary biological control measure, apply Trichoderma harzianum 1% WP (e.g., IIHR Th-2 strain) at 2.5–5 kg per acre, mixed with 50 kg of well-decomposed FYM, during land preparation. For seed treatment, use Carbendazim 50% WP @ 2 g per kg of seed or Trichoderma powder @ 6–10 g per kg of seed, as recommended in government extension advisories.

If disease symptoms appear in the field, usually around 45–60 days after sowing, apply a foliar spray of Tebuconazole 50% + Trifloxystrobin 25% WG @ 80–100 g per acre (0.08%) in 200 litres of water, or Thiophanate-methyl 70% WP @ 250–500 g per acre (1 g/L) for systemic curative control. A pre-harvest interval (PHI) of 21–25 days must be strictly followed. Crop rotation should be practiced, avoiding mustard after cabbage and cauliflower. The use of organic manures (FYM, compost) and soil solarization is encouraged to reduce soil-borne inoculum, particularly for managing root rot."
https://workdrive.zoho.in/file/yclw73937b03169b0411e89ad7189453ee0c2,69464623d683a39e87807f71,6944cc66ba7dbbec181cdf0f,Information regarding the Ammonium Molybdate,"Ammonium Molybdate containing 52% Molybdenum is a critical micronutrient intervention for mustard cultivation, particularly in acidic and lateritic soil profiles where molybdenum availability is naturally limited, as it serves as an essential cofactor for nitrate reductase and nitrogenase enzymes responsible for nitrogen metabolism. To optimize yield and prevent physiological disorders such as leaf cupping or marginal scorching, it is recommended to apply a basal dose of 500–700 grams per acre during final land preparation or, for faster absorption, a foliar spray of 0.05–0.1% solution (0.5–1.0 g per 10 L water), (25–50 g per acre in 200–250 L water) during the early vegetative stage at 30–45 days after sowing (DAS). When integrated with a standard fertilisation schedule of 32 kg Nitrogen, 16 kg Phosphorus, 16 kg Potassium, and 16 kg Sulphur per acre, the addition of this micronutrient enhances chlorophyll synthesis, increases the number of siliquae per plant, and improves seed weight, leading to a potential yield of 8 to 10 quintals per acre. Farmers should maintain a seed rate of 2–3 kg per acre and at least 21 days if molybdenum is applied in conjunction with other chemical treatments. Systematic application of this nutrient, especially when combined with 4 kg of Borax per acre, effectively mitigates sterility and ensures high oil content in the harvested seeds while conforming to the official package of practices recommended by Bidhan Chandra Krishi Viswavidyalaya and ICAR-Directorate of Rapeseed-Mustard Research."
https://workdrive.zoho.in/file/7be2w8fe369097c114948a379d525e2abd2c1,69467c60d683a39e8780813b,69456282ba7dbbec181ce3b2,ਮੱਕੀ ਦੇ ਵਿੱਚ ਸੁੰਡੀ ਲਈ ਕੀ ਕਰਨਾ ਚਾਹੀਦਾ,"In maize, two major worm or caterpillar pests commonly cause damage: the maize stem borer and the white grub.
Maize stem borer (Chilo partellus Swinhoe / Sesamia inferens Walker) can be effectively managed by adopting resistant or tolerant varieties such as HQPM-1, DHM-117, HM-4, HM-5, Vivek Hybrid-5, HMM-1, PEHM-1, Pusa Composite-3, Pusa Composite-4, Amar, and Azad Kamal. Cultural practices play a key role in management; deep summer ploughing followed by fallowing helps expose the resting stages of the pest, while intercropping maize with legumes reduces borer incidence. Suitable intercropping systems include maize–soybean, maize–cowpea, and maize–green gram. The use of well-decomposed farmyard manure (FYM) also helps reduce termite attack. Recommended plant spacing is 75 × 18 cm during the kharif season and 60 × 18 cm in other seasons. Several natural enemies help control stem borer populations, including parasitoids such as Trichogramma chilonis (egg parasitoid) and Cotesia flavipes (larval parasitoid), and predators like Chrysoperla carnea, coccinellids, king crow, common mynah, wasps, dragonflies, spiders, robber flies, reduviid bugs, preying mantids, fire ants, big-eyed bugs (Geocoris sp.), pentatomid bugs (Eocanthecona furcellata), earwigs, ground beetles, and rove beetles, along with the nematode Ovomermis albicans. For chemical control, granular application of Carbofuran 3% CG at 33.3 kg per hectare (13.3 kg per acre) should be applied in the whorls of infested plants.
White grub is another important pest of maize and can be managed by using certified seeds of recommended varieties with better tolerance to local pest problems, such as Pusa Composite-4, Amar, and Azad Kamal. Natural enemies play an important role in suppressing grub populations, including parasitoids like Tiphia rufo-femorata and predators such as spiders, robber flies, preying mantids, fire ants, big-eyed bugs (Geocoris sp.), crock beetle (Autocrates aenens), Indian mynah, and jungle crow. In case of severe infestation, a spray of Carbaryl 85% WP at 1764 g per hectare (about 714 g per acre) mixed in 200 litres of water can be applied for effective control."
https://workdrive.zoho.in/file/7be2wf07fb6bb23b642dca7160fe13790f538,694a3357b8b4b1ceb66167ce,6943c417ba7dbbec181cdc49,ਕਣਕ ਦੀ ਕਾਲੀ ਕੁੰਗੀ ਦਾ ਇਲਾਜ ਦੱਸੋ,"Black or dark brown elongated pustules appear on stems and leaves. Plants may lodge and dry early. Farmers can control black rust by using wheat varieties that are resistant to the disease and by planting their crops according to the recommended planting dates for their particular region. Regular monitoring of wheat crops for signs of disease is a must, and when farmers see any signs of black rust on their crops, they should apply a fungicide treatment as soon as possible; propiconazole 25% EC should be used at a rate of 200 ml per acre in 200 liters of water, with adequate coverage of stems and leaves. If conditions remain favourable for the disease, a second application can be made after 10–15 days. Another goop option is Triadimefon 25% WP. The recommended dose is about 400 g in 300 liters of water per acre. Farmers can also reduce the severity of the disease through proper management of nutrients. Nitrogen fertilization should be done in a balanced manner and not in excess amounts. If farmers are able to adhere to these guidelines, control of black rust of wheat can be accomplished with minimal yield loss."
https://workdrive.zoho.in/file/mp02130134cf0352d4ca2ac63723e3d019089,694a9ea6571b48ad544ac7bc,6936bd6a36c38b7c36d5f221,Information regarding kisan call centre?,"About KCC- The Department of Agriculture & Cooperation (DAC), Ministry of Agriculture, Govt. of India launched Kisan Call Centers on January 21, 2004, across the country to deliver extension services to the farming community.

The purpose of these call centers is to respond to issues raised by farmers, instantly, in the local language. There are call centers for every state which are expected to handle traffic from any part of the country. Queries related to agriculture and allied sectors (Horticulture, Animal Husbandry, Fisheries, Poultry,
Beekeeping, Sericulture, Aquaculture, Agricultural Engineering, Agricultural
marketing, Biotechnology, Home Science etc.) are being addressed through these call centers.

The universal toll-free number for farmers across India, including Odisha, is- 1800-180-1551, available daily from 6 AM to 10 PM for all the 7 days in week for advice in 22 local languages.

Kisan Call Centre agents known as Farm Tele Advisors (FTAs), and possess excellent
communication skills in respective local languages. Queries which cannot be answered by Farm Tele Advisor (FTAs) are transferred to higher level experts in a call conferencing mode. These experts are subject matter specialists of State Agriculture Departments, ICAR and State Agricultural Universities.
"
https://workdrive.zoho.in/file/cg2nn783258c4460846b5985f962379f7baa1,694b6a3a0d03bcc0ede26da9,694aef5a0d03bcc0ede26cde,What information is available regarding Yara Zinc fertilizer for paddy cultivation?,"YaraVita Zintrac 700 is a highly concentrated flowable zinc fertilizer containing about 39.5% zinc, formulated for rapid foliar uptake with added wetting, sticking, dispersing and stabilising agents that improve spray coverage and rainfastness. For cereals, including paddy, it is recommended to apply 0.625 litre per hectare at 30–35 days after sowing and repeat at 45–50 days after sowing if zinc deficiency persists. On a per-acre basis, this equals about 250 ml per acre, using approximately 200 litres of water per acre (converted from 500 L/ha). The spray should be applied uniformly during early morning or late evening hours to ensure better absorption and effective correction of zinc deficiency."
https://workdrive.zoho.in/file/cg2nne9774779af504d8a8e86a42546f9e9b3,694b6a3a0d03bcc0ede26da9,694aef5a0d03bcc0ede26cde,What information is available regarding Yara Zinc fertilizer for paddy cultivation?,"YaraVita Zintrac 700 is a highly concentrated flowable zinc fertilizer containing about 39.5% zinc, formulated for rapid foliar uptake with added wetting, sticking, dispersing and stabilising agents that improve spray coverage and rainfastness. For cereals, including paddy, it is recommended to apply 0.625 litre per hectare at 30–35 days after sowing and repeat at 45–50 days after sowing if zinc deficiency persists. On a per-acre basis, this equals about 250 ml per acre, using approximately 200 litres of water per acre (converted from 500 L/ha). The spray should be applied uniformly during early morning or late evening hours to ensure better absorption and effective correction of zinc deficiency."
https://workdrive.zoho.in/file/4xdjhb87971661ccb4319ac9337b699fd5206,694b81720d03bcc0ede26e4a,694aef5a0d03bcc0ede26d35,Why does water not stagnate in the ground during paddy crop cultivation?,"Water drainage issues during paddy cultivation can be attributed to the inherent physical properties of the soil in your region. In Mansa district, particularly in areas like Sardulgarh, the soil characteristics play a crucial role in water management during the Kharif season when paddy is grown.
The primary reason water may not stagnate properly in your fields is due to the soil texture and structure. Sandy loam or loamy sand soils, which are common in parts of Punjab, have larger pore spaces and better drainage capacity. While this is generally beneficial for most crops, paddy cultivation requires standing water for optimal growth. When soil has high permeability or sandy texture, water quickly percolates down through the soil profile instead of remaining on the surface.
To address this challenge and improve water retention for paddy cultivation, consider these practical solutions:
**Soil Improvement Methods:** Apply farmyard manure (FYM) or compost at 10-12 tons per hectare before transplanting. Organic matter helps bind soil particles together, reducing water seepage. Green manuring with dhaincha or sesbania 4-6 weeks before transplanting also improves soil structure.

**Puddling Operation:** Proper puddling is essential. After pre-soaking irrigation, puddle the field 2-3 times with 5-7 cm standing water. This breaks down soil aggregates and creates a hardpan layer that reduces water percolation significantly. The ideal puddling should result in a muddy, semi-fluid condition.

**Field Leveling:** Ensure your field is properly leveled using laser land leveling if possible. Uneven fields cause water to drain to lower areas, creating non-uniform water distribution.

**Bund Maintenance:** Construct and maintain strong field bunds (edges) of 30-45 cm height to hold water effectively. Repair any cracks or rat holes that might cause water leakage.

**Irrigation Management:** During the critical growth stages, maintain 5-7 cm water depth continuously. Apply irrigation 2-3 days after water disappearance from the field surface.

By implementing these measures, you can significantly improve water retention in your paddy fields despite unfavorable soil properties, leading to better crop establishment and higher yields."
https://workdrive.zoho.in/file/4xdjh90fb4d7c49934190a1ca40a64efb1b6a,694b8ddf0d03bcc0ede26ec7,694aef5a0d03bcc0ede26ca6,What information is available about the Supreme 110 paddy variety for cultivation in Punjab?,"Supreme 110 is a paddy variety that farmers in Punjab may be interested in cultivating. However, it's important to note that this variety may not be officially approved or recommended by Punjab Agricultural University (PAU) for the region. Before making any decision about planting Supreme 110 or any other paddy variety, farmers should verify several critical aspects.

First and foremost, check whether Supreme 110 is listed among the PAU-recommended varieties for Punjab. The officially recommended varieties for Punjab include PR-126, PR-127, PR-128, PUSA-44, and several others that have been tested for local conditions including water requirements, disease resistance, and yield potential. These approved varieties are specifically suited to Punjab's soil type, climate, and irrigation patterns.

If you have obtained Supreme 110 seeds or are considering purchasing them, carefully examine the seed bag for the following information: the company name and address, batch number, germination percentage, physical purity, date of packing, net weight, and any certification marks. Genuine seed packets should have clear labeling with complete details about the variety characteristics, maturity duration, recommended sowing time, and expected yield.

For accurate and detailed information specific to Supreme 110, you should contact the seed company directly or share a clear photograph of the seed packet with agricultural experts. You can send images to agricultural helpline numbers like 9988434143 or contact your local Krishi Vigyan Kendra (KVK) in Gurdaspur district for expert guidance.

Before sowing any paddy variety, consider these factors: duration of the variety (should ideally be 120-125 days for Punjab), water requirement (shorter duration varieties save water), resistance to diseases like bacterial leaf blight and blast, and the variety's performance in your specific agro-climatic zone. Punjab government also provides subsidies and support for approved varieties, which you might not receive for non-recommended ones.

Always consult with local agricultural extension officers or visit your nearest PAU Krishi Vigyan Kendra before making final decisions about variety selection to ensure optimal yields and compliance with state agricultural guidelines.
"
