source_name,link,answer_id,question_id,question,answer
Repository of Advisory POPs folder,https://workdrive.zoho.in/619q27faa4dfaf0af4a34b94a6ee7630e4f99/privatespace/sharedwithme/allusers/zotk894e4c8cd1c2b40ef9bdfdd4bd39d316f?sfid=5ez6i17f7f720fd0f4dcaa9960915d73cdfd9,693fea6a1f1d4023652f767f,693d08aa1f1d4023652f6fe4,ਲੰਪੀ ਸਕਿਨ ਡਿਜੀਜ਼,"Lumpy skin disease:- LSD is a highly infectious viral disease affecting mainly cows and buffaloes. It is a rapidly emerging transboundary disease in India that is mainly transmitted through blood-sucking vectors such as fly, mosquito, tick and lice. It is characterized by the appearance of skin nodules typically all over the body. The morbidity rate is 2-45 % while the mortality rate can reach up to 10 %. Lumpy skin disease is not zoonotic and does not infect humans.
Transmission of lumpy skin disease:- Through contaminated feed/water, direct contact and Contact with saliva.
Clinical signs :- 
Ocular and nasal discharge (early signs), swelling of lymph nodes of shoulder & thigh, high fever (>105 F), weakness rapid decline in milk production, 10-50 mm diameter skin nodules, excessive salivation from the mouth and purulent discharge from the nose, ulcer formation in the center of the nodule and crust on the top, risk of abortion and infertility, swelling in legs and lameness and unilateral or bilateral corneal opacity.
Prevention and control :- 
Follow the vaccination schedule. 
Regular spraying of cows & buffaloes with insecticide solution.
Use of mosquito nets inside the animal shelter.
Avoid water logging in and around the animal shelter.
Burn neem leaves or keep camphor tablets to keep mosquitoes and flies away.
During outbreak, ban on sale/purchase and cattle fairs.
Disinfection of the farm (phenyl, 2-3% (means 2-3 g/liter of water) sodium hypochlorite)
Keep newly purchased animals separate from the herd in quarantine for 30 days.
Bury the dead animal in a pit 6 feet deep with lime/salt."
Insecticides for Paddy Crop,https://fertiliserindia.com/insecticide-for-paddy-crop/,694e4af9aca96f5efbe2fed1,694e2b44aca96f5efbe2fdba,What is Chlorpyriphos 20EC and how is it used as an insecticide in paddy cultivation?,"Chlorpyriphos 20% EC is an organophosphate insecticide widely used in paddy (rice) cultivation to control various pests. It contains 20% Chlorpyriphos in emulsifiable concentrate form. In paddy crops, it is effective against stem borers, leaf folders, gall midges, hispa and whorl maggots. The typical dosage is 500 ml per acre, mixed with 200-400 liters of water for foliar spray. It should be applied when pest infestation is noticed at the early stage. The insecticide works by inhibiting the nervous system of insects. Safety precautions include wearing protective equipment during application, maintaining a pre-harvest interval as per product label, and avoiding application during flowering stage or windy conditions. Always follow the manufacturer's instructions and local agricultural department guidelines for best results.
"
,https://workdrive.zoho.in/folder/zu51z048426b28a4e4de6a4311da92bf93942,695b51f128ae67127339db8b,695b446528ae67127339daa2,Rice variety used in zaid season ?,"The Zaid season, which falls between the Rabi and Kharif seasons (typically March to June), presents unique opportunities for rice cultivation in certain regions of Uttar Pradesh and other parts of India. Growing rice during this period requires careful variety selection to ensure success under the prevailing climatic conditions.
 
Regional Suitability:
For Uttar Pradesh, particularly in districts like Moradabad and surrounding areas, several rice varieties have been specifically developed and tested for Zaid season cultivation. These varieties are adapted to handle the increasing temperatures and water requirements of this period.
 
 Recommended Rice Varieties for Zaid Season:
 
 1. Narendra-118:This variety is well-suited for Zaid cultivation with good heat tolerance and moderate water requirements. It typically matures in 85-90 days and produces good yields under proper management.
 
 2. Narendra-97: Another excellent choice for Zaid season, this variety shows good adaptation to semi-irrigated conditions and has moderate resistance to common pests and diseases and takes 85-90 days to reach maturity.
 
 3. Saket-4: Known for its stability in varying conditions, Saket-4 performs well in the Zaid season with adequate irrigation facilities.
 
 4. Govind Pant Dhan-12: This variety has been specifically recommended for Zaid cultivation due to its heat tolerance and shorter duration (approximately 105-110 days).
 
 5. Sahbhagi: A drought-tolerant variety that can perform well even with limited water availability during the Zaid season.
 
 6. Barani Deep: Particularly suitable for areas with water constraints, this variety shows good performance under rainfed or limited irrigation conditions and takes 85-100 days to reach maturity.
 
 7. Shushk Samrat: As the name suggests (meaning 'Dry Emperor'), this variety is designed for water-scarce conditions and is an excellent choice for Zaid season cultivation, where irrigation may be challenging and is ready for harvesting in 105-110 DAS.

 Key Cultivation Parameters:
 
 Water Requirements: Zaid rice requires consistent irrigation, typically 4-6 inches of standing water during critical growth stages. Ensure adequate water supply throughout the growing period.
 
 Seed Rate: Use 12kg of certified seeds per Acre for transplanting or 16kg per Acre for direct seeding, depending on the variety and method chosen.
 
 Spacing: Maintain a spacing of 20 cm*15 cm for transplanted rice to ensure optimal plant density and better tillering.
 
 Duration: Most Zaid rice varieties mature in 90-110 days, allowing farmers to harvest before the monsoon season begins.
 
 Expected Yield: Under proper management, these varieties can produce 20 quintals per Acre, though yields may vary based on soil conditions, water availability, and management practices.
 
 Variety Traits: The recommended Zaid varieties generally possess heat tolerance, shorter duration, moderate water requirements, and good grain quality. They are bred to withstand the higher temperatures prevalent during this season.
 
 Disease and Pest Resistance: Most of these varieties show moderate resistance to common rice diseases like blast and bacterial leaf blight, as well as tolerance to major pests.
 
 Seed Source: Obtain certified seeds from authorized dealers, State Seed Corporations, or Krishi Vigyan Kendras (KVKs) to ensure genetic purity and better germination rates.
 
 For further guidance or clarification, farmers are advised to contact the nearest Krishi Vigyan Kendra (KVK) or local agricultural extension officer."
Rice Varieties,https://rice-garud.icar-web.com/varieties.php,695c989ab4938aec8001b4a5,695c88d8b4938aec8001b365,Information related to getting seeds of CSR 76 variety of Paddy,"CSR 76 is a high-yielding, semi-dwarf paddy variety developed by the Central Soil Salinity Research Institute (CSSRI), Karnal, specifically bred for salt-affected and waterlogged areas. This variety has gained popularity in Uttar Pradesh and other states due to its adaptability and performance under challenging soil conditions.
 
Regional Suitability: CSR 76 is particularly well-suited for the eastern and central regions of Uttar Pradesh, including Sant Ravidas Nagar (Bhadohi) district. It performs excellently in areas with mild to moderate soil salinity and can tolerate alkaline conditions better than many conventional varieties.
 
Season and Duration: This variety is primarily grown during the Kharif season (monsoon season). The crop duration is approximately 125 to 130 days from transplanting to maturity, making it a medium-duration variety suitable for timely harvesting before the onset of winter.
 
Variety Characteristics: CSR 76 produces bold grains with good milling quality and cooking characteristics. The plants exhibit strong stems with good tillering capacity, typically producing 8-12 productive tillers per plant. The variety shows moderate resistance to common pests and diseases including bacterial leaf blight and stem borer.
 
Seed Rate and Spacing: For transplanted paddy, use 20-25 kg of certified seeds per hectare (8 to 10 kg per acre) for nursery raising. For direct seeding, increase the seed rate to 40-50 kg per hectare (16 to 20 kg per acre). Maintain a spacing of 20 cm between rows and 15 cm between plants for optimal growth and yield.
 
Expected Yield: Under proper management with adequate irrigation and fertilization, CSR 76 can yield 40-45 quintals per hectare ((16 to 18 qui. per acre) in normal conditions.
 
Seed Sources: To obtain genuine certified seeds of CSR 76, farmers have several reliable options:
 
 1. Government Seed Stores: Contact the Block Seed Store in-charge at your block office (Deegh Block in your case). These stores maintain stocks of certified seeds of popular varieties.
 
 2. District Seed Officer: Visit the office of the District Agriculture Officer or District Seed Officer in Sant Ravidas Nagar district headquarters.
 
 3. Krishi Vigyan Kendra (KVK): The nearest KVK in your district can provide information about seed availability and may also stock certified seeds.
 
 4. State Seed Corporation: Uttar Pradesh State Seeds Corporation outlets and authorized dealers distribute certified seeds of CSR 76.
 
 5. Authorized Private Seed Dealers: Licensed private seed companies and their authorized dealers in local agricultural markets sell certified seeds with proper tags and certification.
 
 6. Online Purchase: Some government portals and authorized e-commerce platforms dealing in agricultural inputs also supply certified seeds with home delivery.
 
Seed Quality Verification: Always ensure that the seeds you purchase carry proper certification tags indicating the variety name, lot number, germination percentage (should be above 80%), and physical purity. Check for the blue or golden tag indicating certified or foundation seed quality.
 
Storage and Treatment: Store seeds in cool, dry conditions until sowing. Before sowing, treat seeds with biological fungicides like Trichoderma viride at 4 grams per kg of seed or Pseudomonas fluorescens at 10 grams per kg to protect against seed-borne diseases.
 
For further guidance or clarification, farmers are advised to contact the nearest Krishi Vigyan Kendra (KVK) or local agricultural extension officer."
,https://workdrive.zoho.in/folder/zu51z97a024a8e58c420d8c6043f21a1ccde5,696616f1774b35f1baeefda7,6965e8fd774b35f1baeefbdf,Does seed treatment in paddy cause delayed germination?,"Seed treatment in paddy (rice) is a crucial preventive measure against seed-borne diseases and early-stage pests, and when done correctly, it does not cause delayed germination. In fact, proper seed treatment often promotes healthier and more uniform germination by protecting seeds from pathogens and ensuring vigorous seedling establishment.
 
 Understanding Seed Treatment:
 Seed treatment involves coating seeds with fungicides, insecticides, or bio-agents before sowing. For paddy cultivation, this practice protects against diseases like bakanae (caused by Fusarium moniliforme), blast (Pyricularia oryzae), and brown spot (Bipolaris oryzae), as well as early-stage pests. The treatment creates a protective layer around the seed without affecting its physiological processes.
 
 Why Germination Delays Occur:
 If farmers experience delayed germination after seed treatment, it is typically not due to the treatment itself but rather due to:
 1. Excessive chemical concentration beyond recommended doses
 2. Poor quality or old seeds with low viability
 3. Improper storage of treated seeds (exposure to heat, moisture, or direct sunlight)
 4. Unfavorable environmental conditions (cold soil temperature, waterlogging, or poor soil aeration)
 5. Inadequate water management during germination phase
 6. Using expired or substandard treatment chemicals
 
 Proper Seed Treatment Protocol:
 For paddy in Uttar Pradesh regions like Jaunpur, follow these guidelines:
 1. Use recommended fungicides such as Carbendazim 50% WP at 2 grams per kilogram of seed or Thiram 75% WS at 2-3 grams per kilogram
 2. For bacterial diseases, use Streptocycline at 0.5 grams per kilogram of seed
 3. Biological alternatives include Trichoderma viride or Pseudomonas fluorescens at 10 grams per kilogram of seed
 4. Mix chemicals with water to make slurry, coat seeds uniformly, and dry in shade
 5. Sow treated seeds within 24-48 hours for best results
 6. Ensure seed viability is above 80% before treatment
 
 Control and Best Practices:
 To ensure optimal germination after seed treatment:
 - Always follow recommended doses strictly; excess chemicals can inhibit germination
 - Maintain proper soil moisture without waterlogging during germination
 - Ensure soil temperature is above 20¬∞C for paddy germination
 - Use certified, fresh seeds from reliable sources
 - Conduct germination tests before large-scale sowing
 - Store treated seeds in cool, dry places away from direct sunlight
 
 Protective Gear for Seed Treatment:
 When handling chemical seed treatments, farmers should wear:
 - Chemical-resistant gloves to protect hands
 - Face mask or respirator to avoid inhalation
 - Protective clothing with long sleeves and full pants
 - Eye protection (goggles) when mixing chemicals
 - Wash hands thoroughly after treatment and avoid eating or drinking during the process
 - Store chemicals away from children, animals, and food items
 
 Safety Guidelines:
 - Follow recommended chemical doses strictly; do not exceed concentrations
 - Mix chemicals in well-ventilated areas
 - Do not mix different chemicals unless specifically recommended
 - Dispose of empty chemical containers properly; do not reuse for food or water storage
 - Keep emergency contact numbers readily available
 - If skin contact or ingestion occurs, seek immediate medical attention
 
 If you would like more information or clarification, farmers are advised to contact the nearest Krishi Vigyan Kendra (KVK) or local agricultural extension officer."
POP Rapeseed and Mustard Punjab folder,https://workdrive.zoho.in/619q27faa4dfaf0af4a34b94a6ee7630e4f99/privatespace/sharedwithme/allusers/qq0vw6da65d8ac8cc475d976a4b6ee1a40144,693aa51589fe351d52c5f451,693a940e89fe351d52c5f3bc,Information regarding Sowing time of Gram crop,"For desi and Kabuli, the best sowing time is 10–25 October in rainfed fields and 25 October–10 November in irrigated fields. Early sowing faces heat and wilt problems, and late sowing gives weak plants and low yield."
POP Barley Madhya Pradesh folder,https://workdrive.zoho.in/619q27faa4dfaf0af4a34b94a6ee7630e4f99/privatespace/sharedwithme/allusers/jzztx8db599eddf074b0786415d9204e333fb?sfid=,693d3c5b1f1d4023652f722f,693c05391f1d4023652f6e33,How to control root aphids attack in Barley crop?,"Barley crop is affected by aphid which causes heavy loss to the crop as well as the grain quality in susceptible variety. Spraying with Imidacloprid @ 8g ai/acre or Clothianidin @ 6g ai/acre in 404.8
litres of water. In case of heavy incidence the second spray can be made at an interval of 15 days.
Moreover, aphid can also be controlled by spraying of Methyl demeton 25 EC or Dimethoate 30 EC at 404.8 ml/acre. Systemic granular insecticides, viz. Phorate 10% (means 10gm in1000ml water) or Disulfoton 5% (5gm in 500ml water) should be used in seed furrows @ 0.2 to 0.4 kg a.i./acre to control the pest."
,https://www.iffco.in/en/potassium-nitrate,6953b1c014a8273593a95fea,694f5af414a8273593a95035,What is the information regarding foliar spray of 13-00-45 fertilizer in Paddy cultivation in Punjab?,"NPK 13:00:45 is a water-soluble fertilizer and contains high levels of potassium and nitrogen along with an optimal amount of sodium, making it ideal for application through drip irrigation (fertigation) as well as foliar spraying. It dissolves easily in water and is best suited for use from post-flowering to the physiological maturity stage of the crop. Water-soluble fertilisers are formulated to enhance nutrient delivery through fertigation. This product is especially effective from the mid-growth stage until crop maturity and can be applied either through drip systems or as a foliar spray. For drip irrigation, apply 1.5 to 2.5 grams per litre of water, depending on crop requirements and soil conditions. For foliar application, mix 1.0 to 1.5 grams of water-soluble potassium nitrate (13:00:45) per litre of water and apply preferably 60–70 days after sowing. The fertiliser promotes fast root and seed development, improves plant strength and resistance, supports better germination, ensures uniform and timely crop maturity, and enhances tolerance to abiotic stresses such as drought and frost."
,https://www.icar.org.in/sites/default/files/2022-09/Rabi-Agro-Advisory-2021-22_0.pdf,6925977548ca39d6f7a9b05b,69258f4248ca39d6f7a9b034,Information regarding the total fertilizer application in Wheat crop,"The recommended fertilizer dose for wheat crops is based on soil type, but a general guideline for soils with medium fertility is a nitrogen, phosphorus, and potassium ratio of 60:30:30 kg per acre. You have to apply a total of approximately 130 kg of urea (in three splits), 188 kg of SSP, and 50 kg of MOP per acre. The application of nitrogen through urea should be split into three parts. 1:3 of the urea should be applied at the time of sowing along with the other fertilizers. The second 1:3 dose of urea should be applied 20 to 25 days after sowing, typically during the first irrigation. The final 1/3 dose of urea should be applied 40 to 45 days after sowing, during the second irrigation. This split application method is crucial for maximizing nutrient uptake, promoting healthy growth, and achieving optimal yield."
"Sowings and other practices across zones of India
Crop Season 2024-25 (IIWBR)",https://iiwbr.org.in/wp-content/uploads/2025/01/Advisory-to-wheat-farmers-January-1-15-2025.pdf,6925977548ca39d6f7a9b05b,69258f4248ca39d6f7a9b034,Information regarding the total fertilizer application in Wheat crop,"The recommended fertilizer dose for wheat crops is based on soil type, but a general guideline for soils with medium fertility is a nitrogen, phosphorus, and potassium ratio of 60:30:30 kg per acre. You have to apply a total of approximately 130 kg of urea (in three splits), 188 kg of SSP, and 50 kg of MOP per acre. The application of nitrogen through urea should be split into three parts. 1:3 of the urea should be applied at the time of sowing along with the other fertilizers. The second 1:3 dose of urea should be applied 20 to 25 days after sowing, typically during the first irrigation. The final 1/3 dose of urea should be applied 40 to 45 days after sowing, during the second irrigation. This split application method is crucial for maximizing nutrient uptake, promoting healthy growth, and achieving optimal yield."
